symbol,trades,pnl,mean_return,hit_rate
FETUSDT,42,151287.51608234734,0.05225692324174905,0.5952380952380952
AVAXUSDT,41,148031.74747330282,0.056593333236433355,0.6585365853658537
PEPEUSDT,26,144463.93479938482,0.0654040210482067,0.4230769230769231
SANDUSDT,17,142753.98391572016,0.13630683084092893,0.5294117647058824
ZECUSDT,26,111567.85847751702,0.041453921424824576,0.4230769230769231
ARKMUSDT,5,111119.97049776853,0.2420470938114912,0.8
VETUSDT,25,103080.57699923683,0.05234410817895205,0.68
ATOMUSDT,36,98630.21517514448,0.04987610707116352,0.6388888888888888
CHRUSDT,12,84145.35274253416,0.07683397340803676,0.5833333333333334
FLOKIUSDT,12,78563.92962811161,0.12138730775982876,0.6666666666666666
ADAUSDT,60,78258.66405513653,0.025046634671666665,0.55
币安人生USDT,7,75130.03952087158,0.30889160648532565,0.7142857142857143
RNDRUSDT,21,72188.1231775004,0.05537542519555093,0.5714285714285714
MATICUSDT,36,67774.37246992023,0.02227625547245433,0.5833333333333334
AXSUSDT,12,64538.7443134613,0.10822806241954702,0.4166666666666667
LUNAUSDT,26,64245.00590600082,0.04798607477964007,0.5
DOTUSDT,33,61398.27709801959,0.030952591892746198,0.5454545454545454
BONKUSDT,17,57657.60279213705,0.07733963261726359,0.5294117647058824
DASHUSDT,19,56991.502834737126,0.08806843496002331,0.47368421052631576
STXUSDT,13,54601.58019732625,0.06497935266878505,0.5384615384615384
THETAUSDT,28,53733.54320810901,0.0664691557667735,0.5714285714285714
OCEANUSDT,7,53542.54454048592,0.1318572868162401,0.8571428571428571
OPUSDT,24,53092.62129290806,0.06316449641153958,0.4583333333333333
XRPUSDT,51,52380.8293314177,0.04758718272018898,0.5686274509803921
1INCHUSDT,4,49316.916588745495,0.3778155024224353,0.75
BNBUSDT,93,48762.120107966606,0.0318588058308776,0.4838709677419355
AGIXUSDT,3,44967.686848493,0.23069016994180236,1.0
BLZUSDT,7,44169.018903506316,0.160739288356627,0.7142857142857143
SYNUSDT,1,43676.52980277823,1.0856959986214552,1.0
CFXUSDT,10,42942.950765614805,0.06933460290844197,0.4
NEOUSDT,17,42785.09791046333,0.050545017646166916,0.5294117647058824
CAKEUSDT,16,40715.89965878711,0.03834046016515748,0.5625
CHZUSDT,36,39504.1194122908,0.03240014236868306,0.4444444444444444
SEIUSDT,12,36132.57879162484,0.03690415038833939,0.5
ZENUSDT,9,34168.71239791834,0.07312432346147074,0.4444444444444444
MANAUSDT,13,32521.21163717316,0.10324135741404346,0.6153846153846154
ETHUSDT,89,30492.979117692346,0.020205110635543887,0.5842696629213483
AAVEUSDT,47,29786.290968750884,0.03106055196725101,0.44680851063829785
FTMUSDT,42,29566.642498845045,0.019485593879997775,0.42857142857142855
FUNUSDT,3,28509.622314018674,0.12741116117385215,0.6666666666666666
AIXBTUSDT,2,28325.930263802627,0.2186564027185012,1.0
IMXUSDT,4,27669.347649976087,0.1067939502671726,0.75
SUIUSDT,29,26836.14165822796,0.026395855938450438,0.41379310344827586
GRTUSDT,9,26544.580745516498,0.05135462580008925,0.6666666666666666
LAYERUSDT,6,26277.576372606334,0.04557355835058369,0.6666666666666666
SXPUSDT,10,25500.82963208136,0.005687160810424649,0.5
CELRUSDT,1,25319.530728814192,0.201266044631839,1.0
ANKRUSDT,8,24896.582929531774,0.0441295240287431,0.375
RSRUSDT,9,22672.20075223474,0.06897975848520108,0.3333333333333333
ALPHAUSDT,4,21808.65729850459,0.279912385402918,0.75
KLAYUSDT,1,21542.061743031947,0.5616137734022688,1.0
BURGERUSDT,2,21127.61163859791,0.28532017456468717,0.5
PHAUSDT,1,19903.863515338737,0.3930287503393934,1.0
DATAUSDT,2,18559.80519635338,0.1422090952314721,0.5
HFTUSDT,6,18373.760019028414,0.04050442315617563,0.6666666666666666
DOGEUSDT,42,17569.265714073972,0.0013564083382201799,0.4523809523809524
SNXUSDT,22,17302.72428979523,0.05068918354365548,0.6363636363636364
TSTUSDT,3,17103.16908749025,0.07790089680633787,0.6666666666666666
NTRNUSDT,2,16994.589059429196,0.2819230101490001,1.0
BCHUSDT,41,16306.401322668853,0.012772778069599368,0.5609756097560976
CRVUSDT,25,16208.935629567448,0.04196603569411419,0.52
HIGHUSDT,3,15583.433560519974,0.016387800663366137,0.3333333333333333
VIRTUALUSDT,9,15506.098787680683,0.04119592103695823,0.5555555555555556
ERDUSDT,9,15236.435237611408,0.17065690172240416,0.6666666666666666
BIOUSDT,4,14566.481153377743,0.10895052154603199,0.5
CTXCUSDT,1,14222.468054579193,0.0930826369624428,1.0
SUNUSDT,6,14098.53993655272,0.043030690477557705,0.5
ENJUSDT,15,14079.66672582326,0.09176765268469765,0.8
SUSHIUSDT,20,13756.211465030658,0.042034605830045854,0.55
ATUSDT,2,13438.15893803048,0.11079185651089146,1.0
KAITOUSDT,2,12533.60379506182,0.07956605436198891,0.5
TRBUSDT,6,11951.787464816178,-0.03610325476083216,0.5
UNIUSDT,45,11494.374946160207,0.02131025414179416,0.5333333333333333
ZILUSDT,15,11234.164523616404,0.09913059006132907,0.6666666666666666
XVGUSDT,2,10957.082611305355,0.11379189186570146,0.5
COCOSUSDT,7,10701.69108254191,0.03233322827395375,0.5714285714285714
ZROUSDT,8,10531.71201194917,0.034224258105384764,0.625
UNFIUSDT,9,10401.483140593635,-0.012203176452651622,0.6666666666666666
COMPUSDT,8,10365.979318467867,0.0034491137018334856,0.125
NKNUSDT,1,9973.408567325256,0.1272541247224276,1.0
XTZUSDT,10,9874.665134989455,0.12218197527007466,0.7
RDNTUSDT,1,9788.19149087424,0.1668089741798133,1.0
ARBUSDT,13,9580.17538128799,0.001082807872694458,0.38461538461538464
STMXUSDT,2,9405.044596858483,0.02298302996998204,0.5
MULTIUSDT,1,9133.601455928438,0.1576171445622428,1.0
RVNUSDT,7,9066.826820523585,0.03502014826809095,0.42857142857142855
QNTUSDT,3,9059.233008309886,0.1393447637652588,0.6666666666666666
TOMOUSDT,11,8853.251740497535,-0.0009034982908543921,0.5454545454545454
ALTUSDT,2,8597.539822349332,0.10513401296648145,1.0
IOTXUSDT,3,8283.341570953939,0.006254234454559203,0.6666666666666666
HBARUSDT,27,8233.467681134505,0.00396812875433756,0.3333333333333333
GLMRUSDT,2,8099.552487260051,0.0631174729298217,0.5
CELOUSDT,4,7670.910199796316,0.016012148574018246,0.5
XPLUSDT,7,7346.342342722089,0.030178821281302084,0.5714285714285714
NOMUSDT,1,7266.51902814435,0.1711487923103026,1.0
ONDOUSDT,7,7142.57665587638,0.00022518088237494238,0.5714285714285714
MINAUSDT,4,6956.90215594302,0.015415309336126202,0.5
ALICEUSDT,9,6906.089038576738,0.1350238591056707,0.4444444444444444
STRKUSDT,2,6622.400007083357,0.06617960045745705,1.0
YFIIUSDT,4,6108.199441615814,-0.006675600539537447,0.25
STPTUSDT,2,5737.281581898882,0.041034463380666145,0.5
LITUSDT,2,5513.883653972284,0.060816752768714746,0.5
LDOUSDT,21,5472.538633179956,0.026041837106042597,0.38095238095238093
ASTRUSDT,3,5100.275216840797,0.023810690573041627,0.6666666666666666
REQUSDT,1,4987.801512699749,0.0407531353536781,1.0
EIGENUSDT,4,4615.784631361519,0.018857465486526302,0.5
SANTOSUSDT,3,4269.413775412502,0.0410944425762726,0.6666666666666666
SOLUSDT,54,4212.549802128693,0.017968511351600366,0.5925925925925926
PORTOUSDT,3,4174.566879838185,-0.008071152826180933,0.6666666666666666
GMXUSDT,1,3943.049751705636,0.0900115747908772,1.0
TURBOUSDT,3,3815.2701123492443,0.027164247227105167,0.6666666666666666
BNXUSDT,5,3583.3947253602782,0.0092004281282503,0.4
TFUELUSDT,8,3217.044355877506,0.15543970263250828,0.625
BANDUSDT,10,2986.20997454003,0.03466707355568679,0.6
XAIUSDT,1,2919.66898996328,0.127928843637253,1.0
RENUSDT,9,2779.6096038035166,0.0011427994376195978,0.5555555555555556
HOMEUSDT,1,2686.718892335768,0.1130815832918666,1.0
POLYXUSDT,1,2619.6619446383047,0.1135958578659213,1.0
TRXUSDT,89,2618.5282766487726,-0.0009960882886396686,0.4943820224719101
AUDUSDT,5,2398.747410486598,0.0057555200866223595,0.8
AUCTIONUSDT,4,2073.950670415048,0.006647399446845281,0.5
TONUSDT,12,2019.9818406675945,0.0016011643581644323,0.5833333333333334
HIVEUSDT,1,2013.153232015324,0.1020429952373885,1.0
COTIUSDT,3,1946.8025971210684,0.08671842172705961,1.0
PERLUSDT,1,1837.666585108884,0.1251349981154334,1.0
XVSUSDT,3,1768.998233086385,0.02323878607169297,1.0
IOUSDT,1,1606.5477010463692,0.0708932316995746,1.0
PNUTUSDT,4,1577.5357309448282,-0.016821511822137526,0.25
GALAUSDT,14,1281.1677161302596,-0.00959397333971626,0.42857142857142855
PENGUUSDT,9,1148.594245827895,-0.016259244518002553,0.5555555555555556
HARDUSDT,1,888.402425021759,0.0582570039634174,1.0
ARKUSDT,1,834.0032647794069,0.0216751523882108,1.0
