date,equity,cash,reserved,invested,open_positions,open_orders,mode,daily_return,peak,drawdown
2020-01-01 00:00:00+00:00,100000.0,100000.0,99999.99999999999,0.0,0,13,positive_momentum_correction,0.0,100000.0,0.0
2020-01-02 00:00:00+00:00,98423.46605489454,10000.000000000002,9999.999999999996,88423.46605489454,12,1,positive_momentum_correction,-0.015765339451054627,100000.0,-0.015765339451054627
2020-01-03 00:00:00+00:00,101656.02763491958,10000.000000000002,9999.999999999996,91656.02763491958,12,1,positive_momentum_correction,0.032843403200433,101656.02763491958,0.0
2020-01-04 00:00:00+00:00,103054.38530801576,10000.000000000002,10000.0,93054.38530801576,12,4,positive_momentum_correction,0.013755777258168456,103054.38530801576,0.0
2020-01-05 00:00:00+00:00,102094.39198674209,10000.000000000002,10000.0,92094.39198674209,12,4,positive_momentum_correction,-0.009315404855449572,103054.38530801576,-0.009315404855449572
2020-01-06 00:00:00+00:00,104644.65475364351,10000.000000000002,10000.0,94644.65475364351,12,4,positive_momentum_correction,0.024979459863305742,104644.65475364351,0.0
2020-01-07 00:00:00+00:00,104572.26981205196,104572.26981205196,104572.26981205196,0.0,0,32,positive_momentum_correction,-0.0006917213474683104,104644.65475364351,-0.0006917213474683104
2020-01-08 00:00:00+00:00,105308.38112622593,22252.278381489607,22252.278381489607,83056.10274473632,22,9,positive_momentum_correction,0.007039259217543892,105308.38112622593,0.0
2020-01-09 00:00:00+00:00,104117.97241576298,16546.13054565148,12994.353531721586,87571.8418701115,25,4,positive_momentum_correction,-0.011304026305713366,105308.38112622593,-0.011304026305713366
2020-01-10 00:00:00+00:00,109228.10032901564,15197.54776421954,15197.547764219533,94030.5525647961,26,5,positive_momentum_correction,0.049080171220074575,109228.10032901564,0.0
2020-01-11 00:00:00+00:00,109379.3533679641,15197.54776421954,15197.547764219533,94181.80560374456,26,5,positive_momentum_correction,0.0013847447542605362,109379.3533679641,0.0
2020-01-12 00:00:00+00:00,111880.14398080291,15197.54776421954,15197.54776421954,96682.59621658336,26,10,positive_momentum_correction,0.022863461300835164,111880.14398080291,0.0
2020-01-13 00:00:00+00:00,111612.62099596877,102133.97811213353,102133.97811213351,9478.642883835242,9,24,positive_momentum_correction,-0.0023911569588258574,111880.14398080291,-0.0023911569588258574
2020-01-14 00:00:00+00:00,111769.0192275367,107885.63735535694,107885.63735535696,3883.381872179764,6,32,positive_momentum_correction,0.0014012593752599223,111880.14398080291,-0.000993248214672282
2020-01-15 00:00:00+00:00,112049.65890337716,107604.01765537089,107604.01765537089,4445.641248006265,7,33,positive_momentum_correction,0.0025108896703220918,112049.65890337716,0.0
2020-01-16 00:00:00+00:00,112275.439406179,102554.65696624565,102554.65696624565,9720.782439933351,14,27,positive_momentum_correction,0.0020150039278257204,112275.439406179,0.0
2020-01-17 00:00:00+00:00,112878.77597796063,88186.66384297928,88186.66384297928,24692.112134981347,17,23,positive_momentum_correction,0.005373718196719279,112878.77597796063,0.0
2020-01-18 00:00:00+00:00,111742.00905655358,87950.25797220036,87950.25797220036,23791.751084353225,15,24,positive_momentum_correction,-0.010070687882272944,112878.77597796063,-0.010070687882272944
2020-01-19 00:00:00+00:00,112039.65864882042,59657.126007378814,59657.126007378814,52382.532641441605,26,14,positive_momentum_correction,0.002663721502592642,112878.77597796063,-0.0074337918875382325
2020-01-20 00:00:00+00:00,113412.17586626824,50645.05754746944,50645.05754746944,62767.1183187988,26,17,positive_momentum_correction,0.012250280248977452,113412.17586626824,0.0
2020-01-21 00:00:00+00:00,113933.53595831801,51192.69860209819,51192.69860209819,62740.83735621981,21,22,positive_momentum_correction,0.004597038087555516,113933.53595831801,0.0
2020-01-22 00:00:00+00:00,114170.61427866736,65218.00123912422,65218.00123912423,48952.61303954314,18,28,positive_momentum_correction,0.0020808475604239263,114170.61427866736,0.0
2020-01-23 00:00:00+00:00,111359.25896122764,14706.330919090731,14706.330919090731,96652.9280421369,35,10,positive_momentum_correction,-0.0246241586348811,114170.61427866736,-0.0246241586348811
