symbol,signal_date,entry_date,target_exit_date,entry_price,quantity,entry_cost,entry_fee,reserved,momentum,sigma,correction_sigma,volume_rank,entry_time,target_exit_time,exit_date,exit_price,exit_fee,funding_cost,pnl,return_on_reserved,holding_days_actual,holding_hours_actual,exit_reason,mode
ETHUSDT,2020-01-30 00:00:00+00:00,2020-01-31 00:00:00+00:00,2020-02-05 00:00:00+00:00,177.70496680206432,56.21683045661468,10000.0,9.990009990009991,10000.0,1.3407305594643162,0.04098761037911605,1.0,3.0,2020-01-31 12:00:00+00:00,2020-02-05 12:00:00+00:00,2020-02-05 12:00:00+00:00,197.80105,11.119748091990363,0.0,1108.628343898372,0.11086283438983718,5,120.0,scheduled,full
XRPUSDT,2020-02-13 00:00:00+00:00,2020-02-14 00:00:00+00:00,2020-02-19 00:00:00+00:00,0.3175210100367005,31811.31878847963,10110.862834389838,10.10076207231752,10110.862834389838,2.7714627283781867,0.031249362491588474,1.0,5.0,2020-02-14 05:00:00+00:00,2020-02-19 05:00:00+00:00,2020-02-19 05:00:00+00:00,0.295852,9.411442286209276,0.0,-708.8319904667715,-0.07010598423468252,5,120.0,scheduled,full
ETHUSDT,2020-02-14 00:00:00+00:00,2020-02-15 00:00:00+00:00,2020-02-20 00:00:00+00:00,275.25713825283367,36.90772213621352,10169.27308861954,10.159113974644896,10169.273088619539,3.556063792542283,0.03618599606928501,1.0,2.0,2020-02-15 15:00:00+00:00,2020-02-20 15:00:00+00:00,2020-02-20 15:00:00+00:00,257.341265,9.49787990280169,0.0,-680.8910657206507,-0.06695572631269366,5,120.0,scheduled,full
LINKUSDT,2020-02-15 00:00:00+00:00,2020-02-16 00:00:00+00:00,2020-02-21 00:00:00+00:00,4.090600530110077,2451.808176225439,10039.397193221399,10.029367825396003,10039.397193221397,2.0581713865203026,0.05641375339000544,1.0,8.0,2020-02-16 16:00:00+00:00,2020-02-21 16:00:00+00:00,2020-02-21 16:00:00+00:00,4.4147915,10.82422189603057,0.0,774.0004809131406,0.07709631026808521,5,120.0,scheduled,full
LTCUSDT,2020-02-18 00:00:00+00:00,2020-02-19 00:00:00+00:00,2020-02-24 00:00:00+00:00,74.02418136896448,137.5619817355231,10193.095998550005,10.182913085464541,10193.095998550003,1.2916275480906925,0.044465758201326984,1.0,6.0,2020-02-19 21:00:00+00:00,2020-02-24 21:00:00+00:00,2020-02-24 21:00:00+00:00,74.32282000000001,10.22399440737257,0.0,20.674414415194406,0.0020282762389499127,5,120.0,scheduled,full
XRPUSDT,2020-02-19 00:00:00+00:00,2020-02-20 00:00:00+00:00,2020-02-25 00:00:00+00:00,0.2622939817132958,38085.5862356317,9999.609679688561,9.989620059628933,9999.609679688561,0.5702078684612,0.04584955101212122,1.0,5.0,2020-02-20 16:00:00+00:00,2020-02-25 16:00:00+00:00,2020-02-25 16:00:00+00:00,0.25817085,9.832588171201337,0.0,-176.854096658426,-0.01768609999024823,5,120.0,scheduled,full
LINKUSDT,2020-02-21 00:00:00+00:00,2020-02-24 00:00:00+00:00,2020-02-29 00:00:00+00:00,4.027316568401128,2501.4515384984225,10084.211363273236,10.074137226047188,10084.211363273234,1.5309343551021506,0.05968381213628613,1.0,8.0,2020-02-24 15:00:00+00:00,2020-02-29 15:00:00+00:00,2020-02-29 15:00:00+00:00,4.169914,10.43083779070611,0.0,336.1955896421696,0.0333388083144108,5,120.0,scheduled,full
ETHUSDT,2020-02-23 00:00:00+00:00,2020-02-24 00:00:00+00:00,2020-02-29 00:00:00+00:00,261.3067708208212,39.01540418626231,10205.184269461535,10.194989280181353,10205.184269461533,1.6541983901386534,0.04987529284094548,1.0,2.0,2020-02-24 18:00:00+00:00,2020-02-29 18:00:00+00:00,2020-02-29 18:00:00+00:00,225.40724000000003,8.794354575109834,0.0,-1419.6240489268112,-0.13910812499240802,5,120.0,scheduled,full
LTCUSDT,2020-02-24 00:00:00+00:00,2020-02-25 00:00:00+00:00,2020-03-01 00:00:00+00:00,72.22291006464216,139.3094198715375,10071.393034242066,10.061331702539526,10071.393034242066,0.5043788940155876,0.046227934310177514,1.0,5.0,2020-02-25 14:00:00+00:00,2020-03-01 14:00:00+00:00,2020-03-01 14:00:00+00:00,59.17040000000001,8.242994097566823,0.0,-1836.6419307728102,-0.18236225361559716,5,120.0,scheduled,full
LINKUSDT,2020-02-29 00:00:00+00:00,2020-03-01 00:00:00+00:00,2020-03-06 00:00:00+00:00,3.7915506637020586,2563.1039990960107,9727.85680757879,9.71813866890988,9727.85680757879,0.4795683358933723,0.06890038164576842,1.0,7.0,2020-03-01 16:00:00+00:00,2020-03-06 16:00:00+00:00,2020-03-06 16:00:00+00:00,4.5737119999999996,11.722899517913413,0.0,1983.319810816709,0.20388044869981453,5,120.0,scheduled,full
