date,none,C > SMA(50),"C > SMA(50), 3d",C > EMA(120),"C > EMA(120), 3d"
2020-01-01 00:00:00+00:00,100000.0,100000.0,100000.0,100000.0,100000.0
2020-01-02 00:00:00+00:00,98414.98970163935,100000.0,100000.0,100000.0,100000.0
2020-01-03 00:00:00+00:00,101659.8385044868,100000.0,100000.0,100000.0,100000.0
2020-01-04 00:00:00+00:00,103157.88847600647,100000.0,100000.0,100000.0,100000.0
2020-01-05 00:00:00+00:00,102188.08199220106,100000.0,100000.0,100000.0,100000.0
2020-01-06 00:00:00+00:00,104735.51670589854,100000.0,100000.0,100000.0,100000.0
2020-01-07 00:00:00+00:00,104784.2747657812,100379.4899734736,100000.0,100000.0,100000.0
2020-01-08 00:00:00+00:00,104868.0895853304,99799.83650914193,100993.66390723806,100993.66390723806,100000.0
2020-01-09 00:00:00+00:00,104958.00395484714,100235.12945760557,99582.88063427365,99582.88063427365,100000.0
2020-01-10 00:00:00+00:00,110712.92122984162,105218.22305623302,105700.0936193755,105700.0936193755,100000.0
2020-01-11 00:00:00+00:00,111591.34396366862,106030.93534432925,105984.02005401113,105984.02005401113,100000.0
2020-01-12 00:00:00+00:00,114427.00875977316,107781.03007069517,108715.87741250636,108715.87741250636,100000.0
2020-01-13 00:00:00+00:00,113758.39668896791,107387.88435008549,108727.82540299294,108727.82540299294,101204.57505729637
2020-01-14 00:00:00+00:00,118310.90375436048,111201.65313642615,108616.8024188979,108616.8024188979,109570.14822204829
2020-01-15 00:00:00+00:00,118853.17747276276,114126.91120470763,108748.05625787248,108748.05625787248,113325.53165431801
2020-01-16 00:00:00+00:00,119707.05150132685,114505.52713558759,108640.02708670177,108640.02708670177,114312.0666058968
2020-01-17 00:00:00+00:00,124021.43996057441,119690.37581284175,110277.61304799835,110277.61304799835,121223.38924334472
2020-01-18 00:00:00+00:00,118882.59594995785,114648.25484630378,108776.21645812521,108776.21645812521,118476.92182848607
2020-01-19 00:00:00+00:00,118859.34625455634,113726.04288965798,108153.65695312955,108153.65695312955,118021.11485556312
2020-01-20 00:00:00+00:00,120812.32007344314,115315.03745562377,109827.89597312003,109827.89597312003,119824.46124402429
2020-01-21 00:00:00+00:00,121749.44562104114,115924.5008052561,110999.10151792927,110999.10151792927,120747.38904953553
2020-01-22 00:00:00+00:00,121676.89134786284,115522.04742204782,111489.52782312059,111489.52782312059,120151.10379674428
2020-01-23 00:00:00+00:00,118233.04998027746,113090.65736145363,108347.5291603759,108347.5291603759,115990.18601560891
2020-01-24 00:00:00+00:00,118692.98802787867,113619.69184625713,109116.76667264142,109116.76667264142,116093.29928176955
2020-01-25 00:00:00+00:00,117644.87219800556,112405.47890073538,108224.39428569573,108224.39428569573,115563.47000171633
2020-01-26 00:00:00+00:00,120818.30352020108,116442.74028048872,111129.74891023239,111129.74891023239,119266.90753015655
2020-01-27 00:00:00+00:00,122628.70530627925,119685.80379202586,112820.28826951206,112820.28826951206,123185.64339259054
2020-01-28 00:00:00+00:00,123074.79651116033,120050.95262403342,113296.20052450962,113296.20052450962,124835.70129517448
2020-01-29 00:00:00+00:00,123119.04148628692,120095.62238256913,113322.82997875777,113322.82997875777,124826.30378248355
2020-01-30 00:00:00+00:00,123749.24974646872,120686.64911301351,113846.92630017751,113846.92630017751,126744.96982445705
2020-01-31 00:00:00+00:00,123568.21628162707,120512.67264951687,113710.89136805799,113710.89136805799,126463.8524835042
2020-02-01 00:00:00+00:00,124621.89206318931,121321.20978320036,114639.98083100475,114639.98083100475,127882.10159429006
2020-02-02 00:00:00+00:00,124586.2071939708,121461.74810186613,114611.88957377734,114611.88957377734,127919.49114232666
2020-02-03 00:00:00+00:00,124971.87834269746,121397.59702125721,114964.86495438675,114964.86495438675,128090.83983975092
2020-02-04 00:00:00+00:00,124868.87492067888,121697.76228366593,115199.54852751533,115199.54852751533,128611.14112948038
2020-02-05 00:00:00+00:00,124909.76564432765,121684.07000521707,115062.21165609352,115062.21165609352,128503.04531234755
2020-02-06 00:00:00+00:00,125902.51520376201,122659.49759149631,116080.47195665719,116080.47195665719,129936.41352266778
2020-02-07 00:00:00+00:00,126374.72486655759,123145.83001359891,116201.49793849888,116201.49793849888,130012.63782672894
2020-02-08 00:00:00+00:00,126063.19445601503,122666.17010485302,115264.75874746963,115264.75874746963,128718.60651907255
2020-02-09 00:00:00+00:00,131150.95935986403,128097.58136579594,118937.8862180934,118937.8862180934,133289.39482878102
2020-02-10 00:00:00+00:00,132178.86388812336,128980.7544409061,119917.29548262089,119917.29548262089,134222.1277332434
2020-02-11 00:00:00+00:00,137459.2843531944,134385.74059458412,124432.68037747801,124432.68037747801,139614.7766085672
2020-02-12 00:00:00+00:00,143005.68649809642,139963.55160516736,128757.47992787347,128757.47992787347,144708.5531004196
2020-02-13 00:00:00+00:00,142391.24248135285,139280.79305779003,127930.81285100844,127930.81285100844,143733.53075208212
2020-02-14 00:00:00+00:00,148897.50896527848,145569.8849138157,133877.6417783696,133877.6417783696,150354.96331745462
2020-02-15 00:00:00+00:00,140178.08651070308,136865.2841149951,126256.64976004668,126256.64976004668,141573.76774220882
2020-02-16 00:00:00+00:00,138456.65081052072,135130.54887277033,124833.79888038785,124833.79888038785,139845.56470580414
2020-02-17 00:00:00+00:00,136448.9057828671,133208.38853708448,123028.75245981617,123028.75245981617,137826.66274429657
2020-02-18 00:00:00+00:00,141397.0126366823,138022.9785734938,127360.90204655677,127360.90204655677,142673.8197119712
2020-02-19 00:00:00+00:00,136797.95269174402,133669.96109113097,122273.65242895688,122273.65242895688,137235.642266587
2020-02-20 00:00:00+00:00,137149.2512368747,134050.40920438475,122480.84630669854,122480.84630669854,137510.14637128374
2020-02-21 00:00:00+00:00,137488.88746674673,134390.38819144462,122809.69699580093,122809.69699580093,137884.90088689167
2020-02-22 00:00:00+00:00,137178.31106744206,134084.73232850543,122517.93655668468,122517.93655668468,137552.6299448292
2020-02-23 00:00:00+00:00,138690.02514521053,135563.13853272592,123893.00920705133,123893.00920705133,139100.80024716567
2020-02-24 00:00:00+00:00,137159.1158099727,134076.70153467412,122527.56394021718,122527.56394021718,137574.05041487986
2020-02-25 00:00:00+00:00,129292.3511847366,126423.02019566075,115415.16987539019,115415.16987539019,129640.64911964329
2020-02-26 00:00:00+00:00,121320.97227217245,118601.69011837007,108403.92218867847,108403.92218867847,121737.76697303455
2020-02-27 00:00:00+00:00,126229.84214879476,123390.44754220803,112801.83783357588,112801.83783357588,126658.53760787801
2020-02-28 00:00:00+00:00,125487.73931152702,122651.98105928606,112174.90940851142,112174.90940851142,125937.1747686695
2020-02-29 00:00:00+00:00,123555.50083678169,120762.87270205183,110445.96360927983,110445.96360927983,123994.51144840996
2020-03-01 00:00:00+00:00,123452.96007898303,120385.68877439959,110088.19922667008,110088.19922667008,123594.0618516139
2020-03-02 00:00:00+00:00,127544.44543214227,120332.54607852294,110038.06680734614,110038.06680734614,123537.81624067697
2020-03-03 00:00:00+00:00,128155.56855525383,120332.54607852294,110038.06680734614,110038.06680734614,123537.81624067697
2020-03-04 00:00:00+00:00,131511.9365608409,120332.54607852294,110038.06680734614,110038.06680734614,123537.81624067697
2020-03-05 00:00:00+00:00,131811.84269157538,120332.54607852294,110038.06680734614,110126.6116009397,123637.22393437248
2020-03-06 00:00:00+00:00,133463.4680566102,120332.54607852294,110038.06680734614,111386.51569111514,125051.69625735027
2020-03-07 00:00:00+00:00,133826.21945633015,120332.54607852294,110038.06680734614,111633.46608058561,125607.08645554929
2020-03-08 00:00:00+00:00,126232.59611150481,120332.54607852294,110038.06680734614,105311.89109909351,117710.23022053791
2020-03-09 00:00:00+00:00,124266.05221708391,120332.54607852294,110038.06680734614,103664.50124308857,115894.78243646749
2020-03-10 00:00:00+00:00,126576.6802050715,120332.54607852294,110038.06680734614,105593.69418916109,118061.4926192578
2020-03-11 00:00:00+00:00,122034.45710313777,120332.54607852294,110038.06680734614,101734.05800656477,113760.46592267771
2020-03-12 00:00:00+00:00,82283.873770696,120332.54607852294,110038.06680734614,86096.56736718533,96508.16530980078
2020-03-13 00:00:00+00:00,87464.55822098273,120332.54607852294,110038.06680734614,86253.60273318001,96678.03414744009
2020-03-14 00:00:00+00:00,84755.06745337349,120332.54607852294,110038.06680734614,86253.60273318001,96678.03414744009
2020-03-15 00:00:00+00:00,84604.50397361636,120332.54607852294,110038.06680734614,86253.60273318001,96678.03414744009
2020-03-16 00:00:00+00:00,83205.60298114244,120332.54607852294,110038.06680734614,86253.60273318001,96678.03414744009
2020-03-17 00:00:00+00:00,83458.52132468944,120332.54607852294,110038.06680734614,86253.60273318001,96678.03414744009
2020-03-18 00:00:00+00:00,83422.78241821297,120332.54607852294,110038.06680734614,86253.60273318001,96678.03414744009
2020-03-19 00:00:00+00:00,84466.86904313276,120332.54607852294,110038.06680734614,86253.60273318001,96678.03414744009
2020-03-20 00:00:00+00:00,83785.27704104576,120332.54607852294,110038.06680734614,86253.60273318001,96678.03414744009
2020-03-21 00:00:00+00:00,83770.68894401815,120332.54607852294,110038.06680734614,86253.60273318001,96678.03414744009
2020-03-22 00:00:00+00:00,83770.68894401815,120332.54607852294,110038.06680734614,86253.60273318001,96678.03414744009
2020-03-23 00:00:00+00:00,83770.68894401815,120332.54607852294,110038.06680734614,86253.60273318001,96678.03414744009
2020-03-24 00:00:00+00:00,83770.68894401815,120332.54607852294,110038.06680734614,86253.60273318001,96678.03414744009
2020-03-25 00:00:00+00:00,83770.68894401815,120332.54607852294,110038.06680734614,86253.60273318001,96678.03414744009
2020-03-26 00:00:00+00:00,83770.68894401815,120332.54607852294,110038.06680734614,86253.60273318001,96678.03414744009
2020-03-27 00:00:00+00:00,83770.68894401815,120332.54607852294,110038.06680734614,86253.60273318001,96678.03414744009
2020-03-28 00:00:00+00:00,83770.68894401815,120332.54607852294,110038.06680734614,86253.60273318001,96678.03414744009
2020-03-29 00:00:00+00:00,83770.68894401815,120332.54607852294,110038.06680734614,86253.60273318001,96678.03414744009
2020-03-30 00:00:00+00:00,83770.68894401815,120332.54607852294,110038.06680734614,86253.60273318001,96678.03414744009
2020-03-31 00:00:00+00:00,83770.68894401815,120332.54607852294,110038.06680734614,86253.60273318001,96678.03414744009
