start,end,initial_equity,final_equity,total_return,cagr,annualized_volatility,sharpe_zero_cash,max_drawdown,max_drawdown_days,daily_es_90,daily_es_95,daily_es_99,trades,hit_rate,mean_trade_return,median_trade_return,trade_es_95,profit_factor,total_fees,average_invested_fraction,average_reserved_fraction,orders,fills,fill_rate,forced_exits,delayed_exit_days,correction_sigma,holding_days
2020-01-01,2026-06-30,100000.0,327188.8758789889,2.271888758789889,0.2002472687403387,0.3339407226060825,0.7174931295323723,-0.47781154093253286,1626,-0.03048644438662379,-0.04373315791407079,-0.08031651981469524,7799,0.4831388639569176,0.0026756419365464956,-0.0012401698987444564,-0.1477948286127343,1.0420636980432791,515699.2926662186,0.2804821688799052,0.6028949441988506,10713,7799,0.7279940259497807,0,0,0.5,1
2020-01-01,2026-06-30,100000.0,185977.17486546576,0.8597717486546577,0.10025276514682058,0.5401268634245558,0.45090714699371115,-0.9089091233093982,1678,-0.052104248242222415,-0.06895528356048156,-0.11839395853940672,5373,0.45951982132886654,0.004966179935069042,-0.0069978116811652506,-0.24543195136478552,1.0074084193066282,524496.6743520331,0.5188386291445418,0.38004268821254034,7467,5373,0.7195660907995178,0,0,0.5,3
2020-01-01,2026-06-30,100000.0,137238.0865189484,0.372380865189484,0.0499506684061628,0.6674626275461161,0.4148327688069822,-0.9555679360289907,1679,-0.063575206361361,-0.08469633352924788,-0.14906189444045848,4307,0.4655212444857209,0.007410810146968065,-0.007634088049310454,-0.3263181901744987,1.003158727422906,374038.8435148123,0.6332284959095902,0.2762896956288665,5904,4307,0.7295054200542005,1,0,0.5,5
2020-01-01,2026-06-30,100000.0,314225.9989007171,2.1422599890071714,0.1927991469452799,0.7660885270268729,0.6207963468797805,-0.9436642072287358,1679,-0.07078280961273932,-0.0921398532805356,-0.15833114246700714,3057,0.44095518482172064,0.015681472365148236,-0.019120222820279587,-0.42640937188198086,1.011789527637905,391230.2157299266,0.7689635852355795,0.16260473932218023,4179,3057,0.7315147164393395,4,0,0.5,10
2020-01-01,2026-06-30,100000.0,366619.44327791425,2.6661944327791427,0.2214625249341693,0.24551536327740642,0.9393813531465215,-0.35024303405836055,707,-0.020384930327745788,-0.03106308602037587,-0.0659283347969219,4613,0.5124647734662909,0.004023801565502607,0.000991246543295692,-0.14305759223118963,1.101302926489996,275822.7075849146,0.17022872676968154,0.7118001814168105,9781,4613,0.4716286678253757,0,0,1.0,1
2020-01-01,2026-06-30,100000.0,632231.1912931085,5.322311912931085,0.3283791830001701,0.4598728012329945,0.8519211279155664,-0.7363486904371286,1626,-0.041770375157171115,-0.058878610531515975,-0.1125153267845796,3709,0.4874629280129415,0.009036312928643367,-0.002533503080286024,-0.25156592934379546,1.0416209823972942,627349.9461675495,0.37726804843412703,0.5191225017253093,7812,3709,0.4747823860727087,0,0,1.0,3
2020-01-01,2026-06-30,100000.0,431972.35520233406,3.3197235520233406,0.25270853621984846,0.5700391554204691,0.68782662213421,-0.7860777401562228,1678,-0.05338061881713762,-0.07232085279940702,-0.13930448941046772,3177,0.4796978281397545,0.014053435110797546,-0.004132661895489764,-0.32958525487458307,1.0348538613696219,328395.5533167049,0.49750061805937723,0.4069894366709422,6665,3177,0.47666916729182296,1,0,1.0,5
2020-01-01,2026-06-30,100000.0,201044.7452901515,1.010447452901515,0.1135307667423433,0.7031148705632765,0.5203028852696202,-0.9064819871605216,1679,-0.06357047959595563,-0.08428270997163924,-0.1579253568935157,2453,0.4618834080717489,0.018225959164781477,-0.01345948336579468,-0.4449305600240654,1.0118971860627597,190152.6886433168,0.654837655122747,0.2740702362042539,5222,2453,0.46974339333588666,4,0,1.0,10
2020-01-01,2026-06-30,100000.0,774509.4652531934,6.745094652531934,0.3705531241801461,0.2114690967794486,1.5961375552624373,-0.3203773939070358,654,-0.012858452561807676,-0.021265174994018858,-0.05298919790949739,2809,0.5418298326806693,0.009064837259121153,0.0030948340242165097,-0.14281011139294317,1.3080443625940328,246478.48409039166,0.10535598951586077,0.7731060493243961,9461,2809,0.29690307578480074,0,0,1.5,1
2020-01-01,2026-06-30,100000.0,1782258.3748947575,16.822583748947576,0.558222393682875,0.38924613616265663,1.3372767423655336,-0.5231673929053751,776,-0.03213091816430771,-0.047451500022699246,-0.09427380536614176,2437,0.5260566270004103,0.01800601991713202,0.0055927940724665925,-0.24526823850429236,1.1494507666365577,593336.2364997093,0.260246593723019,0.6283931155502603,8196,2437,0.2973401659346022,0,0,1.5,3
