symbol,signal_date,entry_date,target_exit_date,entry_price,quantity,entry_cost,entry_fee,reserved,momentum,sigma,correction_sigma,volume_rank,exit_date,exit_price,exit_fee,pnl,return_on_reserved,holding_days_actual,exit_reason,mode
ARPAUSDT,2020-01-01 00:00:00+00:00,2020-01-02 00:00:00+00:00,2020-01-07 00:00:00+00:00,0.009968842789653223,1002123.3357575603,10000.000000000002,9.990009990009993,10000.0,0.4693388067767488,0.06515597591871213,1.0,37.0,2020-01-07 00:00:00+00:00,0.01001499,10.03625518637861,26.21893119222841,0.002621893119222841,5,scheduled,full
ATOMUSDT,2020-01-01 00:00:00+00:00,2020-01-02 00:00:00+00:00,2020-01-07 00:00:00+00:00,4.117752097869258,2426.0833951561453,9999.999999999998,9.99000999000999,10000.0,0.23748775192177504,0.06174131723803914,1.0,13.0,2020-01-07 00:00:00+00:00,4.1089445,9.968642023068169,-41.32661895489764,-0.004132661895489764,5,scheduled,full
BATUSDT,2020-01-01 00:00:00+00:00,2020-01-02 00:00:00+00:00,2020-01-07 00:00:00+00:00,0.1855072941140604,53852.383744369465,10000.0,9.990009990009991,10000.0,0.4883118889588175,0.05604034448723995,1.0,31.0,2020-01-07 00:00:00+00:00,0.19170410000000002,10.32372275856898,313.3990358104111,0.031339903581041106,5,scheduled,full
EOSUSDT,2020-01-01 00:00:00+00:00,2020-01-02 00:00:00+00:00,2020-01-07 00:00:00+00:00,2.500835967523978,1383.5049766178734,3463.3789257811723,3.459919006774398,3463.3789257811723,0.04569223100978708,0.04038525816230189,1.0,7.0,2020-01-07 00:00:00+00:00,2.8491747000000003,3.9418473767037367,474.5266035458608,0.1370126150544819,5,scheduled,full
ETCUSDT,2020-01-01 00:00:00+00:00,2020-01-02 00:00:00+00:00,2020-01-07 00:00:00+00:00,4.310166515496587,2317.7782004691326,10000.000000000002,9.990009990009993,10000.0,0.8445744425375799,0.04387833418632121,1.0,15.0,2020-01-07 00:00:00+00:00,5.0280847,11.653985107772378,1642.3311226646038,0.16423311226646037,5,scheduled,full
KAVAUSDT,2020-01-01 00:00:00+00:00,2020-01-02 00:00:00+00:00,2020-01-07 00:00:00+00:00,1.067799763242239,9355.696015212243,10000.0,9.990009990009991,10000.0,1.102041455076118,0.062265135638790055,1.0,34.0,2020-01-07 00:00:00+00:00,1.0556719,9.876545388201539,-133.3311571866634,-0.013333115718666341,5,scheduled,full
NEOUSDT,2020-01-01 00:00:00+00:00,2020-01-02 00:00:00+00:00,2020-01-07 00:00:00+00:00,8.507517161265687,1174.2568131973946,10000.0,9.990009990009991,10000.0,0.13343679274474543,0.03946731443639081,1.0,26.0,2020-01-07 00:00:00+00:00,9.7661145,11.467926490090868,1456.458563600776,0.1456458563600776,5,scheduled,full
STXUSDT,2020-01-01 00:00:00+00:00,2020-01-02 00:00:00+00:00,2020-01-07 00:00:00+00:00,0.09061303216693435,110249.15236922677,10000.000000000002,9.990009990009993,10000.0,0.39302158714914937,0.08751119302198594,1.0,40.0,2020-01-07 00:00:00+00:00,0.0961519,10.600665473690656,590.0648082169628,0.05900648082169628,5,scheduled,full
THETAUSDT,2020-01-01 00:00:00+00:00,2020-01-02 00:00:00+00:00,2020-01-07 00:00:00+00:00,0.0827745583932601,78890.07335093587,6536.62107421885,6.530090983235614,6536.62107421885,0.08623740183996295,0.04471706670464275,1.0,39.0,2020-01-07 00:00:00+00:00,0.09941027000000001,7.84248349213634,1298.0199344253542,0.1985765917417008,5,scheduled,full
WAVESUSDT,2020-01-01 00:00:00+00:00,2020-01-02 00:00:00+00:00,2020-01-07 00:00:00+00:00,0.9882318530486803,10108.973880158752,10000.000000000002,9.990009990009993,10000.0,2.0879181624183873,0.055471976707199916,1.0,22.0,2020-01-07 00:00:00+00:00,0.8945525000000001,9.043007856930714,-966.03515092622,-0.096603515092622,5,scheduled,full
BCHUSDT,2020-01-06 00:00:00+00:00,2020-01-07 00:00:00+00:00,2020-01-12 00:00:00+00:00,233.36299758073793,7.529915024758021,1758.960745247474,1.7572035417057683,1758.9607452474738,1.594548299139078,0.045597120139370347,1.0,6.0,2020-01-12 00:00:00+00:00,260.559655,1.9619920610302666,201.0693237217622,0.11431143319430538,5,scheduled,full
